nearest_x,run,agent_id,x,y,z
2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,8.102701303794489718e+01,8.778026454579473281e+00,7.760481478250507337e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.310000000000000000e+02,2.983888251970840955e+01,6.815548477586557397e+01,7.251000329817061640e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,4.213314516828542367e+01,4.183367341528701644e+01,2.247416912867568684e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.330000000000000000e+02,1.367878999296548770e+01,5.955347108949549551e+00,7.111486585992302878e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,1.740534202388958107e+01,1.043412237657085306e+01,1.967664876418715636e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+02,4.272107358272055677e+01,4.883018287970757143e+01,1.833649505110657429e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.360000000000000000e+02,7.740491954099651650e+01,7.843621593035494755e+01,2.363183356006693359e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.370000000000000000e+02,3.506893768387248400e+01,2.853554187268316511e+01,1.240969912332291791e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,5.032915421632359454e+01,1.852887012762960595e+01,9.196190457535011831e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.390000000000000000e+02,7.822005525440313534e+01,8.151891411440035995e+01,2.847735987194568352e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,9.463391401975891881e+01,5.160882004993483463e+01,8.438795047723044718e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.410000000000000000e+02,1.831970422151056255e+01,3.206183960424755242e+01,9.437675714532728932e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,1.426627074938315509e+01,5.505533797452154765e+00,7.703547322401327335e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.430000000000000000e+02,6.372185016660352375e+01,9.366676553137875771e+01,7.132330766618954954e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.440000000000000000e+02,8.475606449244990870e+01,2.181821192359802097e+01,9.253377951041942140e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+02,1.678879418129229251e+01,1.686936754734325916e+01,8.057846645459702017e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,6.470941794881977671e+01,9.008885533086369435e+01,4.596141559292942702e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.470000000000000000e+02,8.255665941234013872e+01,7.887676769972536306e+00,7.457563393537496665e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,5.867973574419945493e+01,9.442880703919247765e+01,8.408138916948873387e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.490000000000000000e+02,9.392294484947788646e+01,2.474114256758045016e+01,5.467192074013232173e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,1.499997684722569247e+01,3.232133796335373432e+01,8.914765849692855681e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.510000000000000000e+02,3.969255412939055816e+01,2.725569991824596983e+01,1.031768747621246618e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.520000000000000000e+02,5.506843294094389307e+01,6.492609589295247474e+01,5.629523840632648302e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.530000000000000000e+02,4.929010633533366814e+01,4.858124385039177895e+01,8.965311312540590549e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,8.997824505420769015e+01,2.364007377513268793e+01,9.269441353389200344e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.550000000000000000e+02,7.853452497875542804e+01,6.090474068720968859e+00,7.652998904281966475e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.560000000000000000e+02,8.486038011441409878e+01,1.095277953843982921e+01,7.155890183092630252e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.570000000000000000e+02,1.185756195047262906e+01,8.284807909071567167e+01,9.156379657096192659e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,9.343841761484034691e+01,5.105345047413213422e+01,8.407942116088416640e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.590000000000000000e+02,2.173192647496999186e+01,3.682063034080535147e+01,9.040128877508703908e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+02,6.549204198891183637e+01,2.242517397233748255e+01,2.242577330177748962e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.610000000000000000e+02,9.011354621536030152e+01,7.750581292683648371e+01,4.652649234015231627e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.620000000000000000e+02,4.650954224862093866e+01,5.271897793750060401e+01,8.387834739064347289e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.630000000000000000e+02,2.545994770721580736e+01,7.155346259439406253e+01,7.889410173283708616e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.640000000000000000e+02,6.179551723647345085e+01,2.250832759822399254e+01,2.111244806251881911e+01
