step,nearest_x,run,n_clusters,n_noise
615.0,11.0,17.0,2,0
615.0,11.0,18.0,1,2
615.0,11.0,19.0,1,0
615.0,11.0,20.0,1,0
615.0,11.0,21.0,3,1
615.0,11.0,22.0,2,7
615.0,11.0,23.0,3,9
615.0,11.0,24.0,1,1
615.0,11.0,25.0,1,0
615.0,11.0,26.0,1,4
615.0,11.0,27.0,2,0
615.0,11.0,28.0,1,1
615.0,11.0,29.0,3,5
630.0,2.0,0.0,1,0
630.0,2.0,1.0,2,0
630.0,2.0,2.0,1,0
630.0,2.0,3.0,1,0
630.0,2.0,4.0,1,0
630.0,2.0,5.0,1,2
630.0,2.0,6.0,1,0
630.0,2.0,7.0,1,0
630.0,2.0,8.0,1,0
630.0,2.0,9.0,1,0
630.0,2.0,10.0,1,0
630.0,2.0,11.0,1,0
630.0,2.0,12.0,1,1
630.0,2.0,13.0,1,0
630.0,2.0,14.0,1,0
630.0,2.0,15.0,1,0
630.0,2.0,16.0,1,1
630.0,2.0,17.0,1,0
630.0,2.0,18.0,1,2
630.0,2.0,19.0,1,0
630.0,2.0,20.0,1,0
630.0,2.0,21.0,1,0
630.0,2.0,22.0,1,0
630.0,2.0,23.0,1,0
630.0,2.0,24.0,1,0
630.0,2.0,25.0,2,0
630.0,2.0,26.0,1,0
630.0,2.0,27.0,1,0
630.0,2.0,28.0,1,0
630.0,2.0,29.0,1,0
630.0,3.0,0.0,1,1
630.0,3.0,1.0,1,0
630.0,3.0,2.0,1,0
630.0,3.0,3.0,1,0
630.0,3.0,4.0,1,0
630.0,3.0,5.0,2,8
630.0,3.0,6.0,1,0
630.0,3.0,7.0,2,1
630.0,3.0,8.0,1,0
630.0,3.0,9.0,1,4
630.0,3.0,10.0,1,1
630.0,3.0,11.0,1,0
630.0,3.0,12.0,1,0
630.0,3.0,13.0,2,1
630.0,3.0,14.0,2,0
630.0,3.0,15.0,2,0
630.0,3.0,16.0,1,0
630.0,3.0,17.0,1,0
630.0,3.0,18.0,1,0
630.0,3.0,19.0,1,0
630.0,3.0,20.0,1,0
630.0,3.0,21.0,1,0
630.0,3.0,22.0,2,1
630.0,3.0,23.0,1,0
630.0,3.0,24.0,1,0
630.0,3.0,25.0,1,0
630.0,3.0,26.0,1,0
630.0,3.0,27.0,1,0
630.0,3.0,28.0,1,0
630.0,3.0,29.0,3,2
630.0,4.0,0.0,1,0
630.0,4.0,1.0,2,1
630.0,4.0,2.0,3,3
630.0,4.0,3.0,2,0
630.0,4.0,4.0,3,0
630.0,4.0,5.0,4,11
630.0,4.0,6.0,1,1
630.0,4.0,7.0,1,0
630.0,4.0,8.0,1,0
630.0,4.0,9.0,1,0
630.0,4.0,10.0,2,0
630.0,4.0,11.0,1,0
630.0,4.0,12.0,2,2
630.0,4.0,13.0,2,0
630.0,4.0,14.0,1,0
630.0,4.0,15.0,1,0
630.0,4.0,16.0,1,1
630.0,4.0,17.0,1,0
630.0,4.0,18.0,1,0
630.0,4.0,19.0,1,0
630.0,4.0,20.0,1,0
630.0,4.0,21.0,1,0
630.0,4.0,22.0,1,0
630.0,4.0,23.0,2,1
630.0,4.0,24.0,1,0
630.0,4.0,25.0,1,1
630.0,4.0,26.0,3,1
630.0,4.0,27.0,1,0
630.0,4.0,28.0,2,1
630.0,4.0,29.0,1,3
630.0,5.0,0.0,1,0
630.0,5.0,1.0,1,2
630.0,5.0,2.0,1,3
630.0,5.0,3.0,1,0
630.0,5.0,4.0,1,3
630.0,5.0,5.0,1,0
630.0,5.0,6.0,2,0
630.0,5.0,7.0,1,1
630.0,5.0,8.0,1,1
630.0,5.0,9.0,1,3
630.0,5.0,10.0,1,0
630.0,5.0,11.0,1,0
630.0,5.0,12.0,1,5
630.0,5.0,13.0,1,0
630.0,5.0,14.0,1,0
630.0,5.0,15.0,2,2
630.0,5.0,16.0,1,0
630.0,5.0,17.0,2,0
630.0,5.0,18.0,2,0
630.0,5.0,19.0,1,1
630.0,5.0,20.0,1,0
630.0,5.0,21.0,1,0
630.0,5.0,22.0,3,0
630.0,5.0,23.0,1,0
630.0,5.0,24.0,2,0
630.0,5.0,25.0,1,0
630.0,5.0,26.0,2,0
630.0,5.0,27.0,1,1
630.0,5.0,28.0,1,1
630.0,5.0,29.0,2,3
630.0,6.0,0.0,2,0
630.0,6.0,1.0,2,6
630.0,6.0,2.0,1,0
630.0,6.0,3.0,1,1
630.0,6.0,4.0,2,0
630.0,6.0,5.0,3,4
630.0,6.0,6.0,1,0
630.0,6.0,7.0,1,0
630.0,6.0,8.0,1,0
630.0,6.0,9.0,1,0
630.0,6.0,10.0,1,4
630.0,6.0,11.0,1,0
630.0,6.0,12.0,1,0
630.0,6.0,13.0,1,4
630.0,6.0,14.0,2,4
630.0,6.0,15.0,2,1
630.0,6.0,16.0,1,1
630.0,6.0,17.0,1,0
630.0,6.0,18.0,2,5
630.0,6.0,19.0,1,0
630.0,6.0,20.0,1,0
630.0,6.0,21.0,2,0
630.0,6.0,22.0,1,3
630.0,6.0,23.0,2,0
630.0,6.0,24.0,1,1
630.0,6.0,25.0,1,1
630.0,6.0,26.0,1,0
630.0,6.0,27.0,1,0
630.0,6.0,28.0,1,0
630.0,6.0,29.0,1,5
630.0,7.0,0.0,1,0
630.0,7.0,1.0,1,1
630.0,7.0,2.0,2,0
630.0,7.0,3.0,1,0
630.0,7.0,4.0,1,0
630.0,7.0,5.0,3,1
630.0,7.0,6.0,1,0
630.0,7.0,7.0,1,0
630.0,7.0,8.0,1,1
630.0,7.0,9.0,1,0
630.0,7.0,10.0,1,0
630.0,7.0,11.0,2,1
630.0,7.0,12.0,2,1
630.0,7.0,13.0,2,0
630.0,7.0,14.0,1,3
630.0,7.0,15.0,1,1
630.0,7.0,16.0,1,1
630.0,7.0,17.0,2,2
630.0,7.0,18.0,1,2
630.0,7.0,19.0,1,1
630.0,7.0,20.0,2,3
630.0,7.0,21.0,1,1
630.0,7.0,22.0,1,2
630.0,7.0,23.0,1,0
630.0,7.0,24.0,1,2
630.0,7.0,25.0,1,3
630.0,7.0,26.0,1,0
630.0,7.0,27.0,1,1
630.0,7.0,28.0,3,2
630.0,7.0,29.0,1,1
630.0,8.0,0.0,1,0
630.0,8.0,1.0,1,0
630.0,8.0,2.0,1,5
630.0,8.0,3.0,1,0
630.0,8.0,4.0,2,0
630.0,8.0,5.0,2,1
630.0,8.0,6.0,1,2
630.0,8.0,7.0,2,4
630.0,8.0,8.0,1,0
630.0,8.0,9.0,2,0
630.0,8.0,10.0,2,4
630.0,8.0,11.0,1,0
630.0,8.0,12.0,1,0
630.0,8.0,13.0,1,1
630.0,8.0,14.0,1,0
630.0,8.0,15.0,2,2
630.0,8.0,16.0,2,1
630.0,8.0,17.0,2,0
630.0,8.0,18.0,2,1
630.0,8.0,19.0,1,2
630.0,8.0,20.0,1,0
630.0,8.0,21.0,2,4
630.0,8.0,22.0,1,2
630.0,8.0,23.0,2,4
630.0,8.0,24.0,3,3
630.0,8.0,25.0,1,1
630.0,8.0,26.0,2,3
630.0,8.0,27.0,2,0
630.0,8.0,28.0,2,0
630.0,8.0,29.0,1,1
630.0,9.0,0.0,1,0
630.0,9.0,1.0,1,6
630.0,9.0,2.0,1,1
630.0,9.0,3.0,1,0
630.0,9.0,4.0,1,2
630.0,9.0,5.0,1,1
630.0,9.0,6.0,2,1
630.0,9.0,7.0,1,0
630.0,9.0,8.0,2,0
630.0,9.0,9.0,2,0
630.0,9.0,10.0,1,0
630.0,9.0,11.0,2,4
630.0,9.0,12.0,1,0
630.0,9.0,13.0,1,0
630.0,9.0,14.0,1,0
630.0,9.0,15.0,1,0
630.0,9.0,16.0,1,0
630.0,9.0,17.0,1,1
630.0,9.0,18.0,1,4
630.0,9.0,19.0,1,0
630.0,9.0,20.0,1,0
630.0,9.0,21.0,1,2
630.0,9.0,22.0,2,1
630.0,9.0,23.0,1,3
630.0,9.0,24.0,1,16
630.0,9.0,25.0,1,0
630.0,9.0,26.0,2,0
630.0,9.0,27.0,2,4
630.0,9.0,28.0,2,6
630.0,9.0,29.0,1,0
630.0,10.0,0.0,2,2
630.0,10.0,1.0,1,0
630.0,10.0,2.0,1,4
630.0,10.0,3.0,1,0
630.0,10.0,4.0,1,0
630.0,10.0,5.0,2,0
630.0,10.0,6.0,1,0
630.0,10.0,7.0,3,1
630.0,10.0,8.0,1,0
630.0,10.0,9.0,1,0
630.0,10.0,10.0,1,0
630.0,10.0,11.0,1,3
630.0,10.0,12.0,1,1
630.0,10.0,13.0,2,0
630.0,10.0,14.0,1,1
630.0,10.0,15.0,2,1
630.0,10.0,16.0,2,0
630.0,10.0,17.0,1,1
630.0,10.0,18.0,1,0
630.0,10.0,19.0,1,9
630.0,10.0,20.0,1,0
630.0,10.0,21.0,1,1
630.0,10.0,22.0,1,1
630.0,10.0,23.0,1,0
630.0,10.0,24.0,2,0
630.0,10.0,25.0,2,1
630.0,10.0,26.0,3,0
630.0,10.0,27.0,1,0
