nearest_x,run,step,agent_id,x,y,z
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.000000000000000000e+01,8.978902407468766000e+01,5.873044835875109015e+01,4.888791924622399421e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.100000000000000000e+01,8.873516372780288464e+01,8.267360568740262750e+01,4.864315110311351553e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.200000000000000000e+01,8.673956377356090286e+01,8.361422172416592957e+01,5.098128512220309716e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.300000000000000000e+01,8.604031988011311682e+01,8.398378596262209328e+01,5.333347556578840631e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.400000000000000000e+01,8.859308636799870840e+01,6.016485760332852806e+01,4.890878516614561988e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.500000000000000000e+01,9.192876820249436776e+01,8.226963293724237758e+01,4.548876119052373213e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.600000000000000000e+01,7.108414978050603850e+01,8.408591317252096076e+01,7.493171840062698763e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.700000000000000000e+01,7.075005865862667065e+01,8.343835026777988162e+01,1.017624130276622374e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.800000000000000000e+01,8.911235238528635705e+01,6.271049361511974496e+01,4.872125570431052211e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,7.900000000000000000e+01,9.039495776761266654e+01,8.176076200767391811e+01,4.989417229244202723e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.000000000000000000e+01,5.978558728882424589e+01,8.218223534296174648e+01,6.442513451389099366e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.100000000000000000e+01,8.872063849005220959e+01,8.279356980207550976e+01,5.239529707203319120e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.200000000000000000e+01,6.601767730798189859e+01,8.240762429989463556e+01,6.513811228126313857e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.300000000000000000e+01,6.848759803531255841e+01,8.301335293333062282e+01,6.213387830905491072e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.400000000000000000e+01,8.557723202230000936e+01,8.392782822367519202e+01,5.561310445644021883e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.500000000000000000e+01,7.139748588874475388e+01,8.232223352724076904e+01,8.275266925290994280e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.600000000000000000e+01,7.099400457908433282e+01,8.272453941293757396e+01,6.696733290644047543e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.700000000000000000e+01,6.615222607046906944e+01,8.336890956264781494e+01,9.714667965278383832e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.800000000000000000e+01,9.523076278866335542e+01,8.450489111944743570e+01,1.398650124563470420e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,8.900000000000000000e+01,8.877140884962898326e+01,8.336149366699966379e+01,5.239381770147650386e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.000000000000000000e+01,8.098231002974057446e+01,5.745105905395279677e+01,4.749476334692030832e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.100000000000000000e+01,8.896941537546992151e+01,8.201118524659420927e+01,5.647304605055294857e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.200000000000000000e+01,8.843593171315916379e+01,5.871003664062830296e+01,4.755472608910662302e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.300000000000000000e+01,6.355587771551450516e+01,8.140935682844092014e+01,6.719128267016845513e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.400000000000000000e+01,9.341846570060366162e+01,8.424795648186417907e+01,4.827845574573089493e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.500000000000000000e+01,9.049859915514572606e+01,8.095985100921005539e+01,5.682525822393126091e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.600000000000000000e+01,8.908911021543639208e+01,6.621569890933213287e+01,4.658229507396885793e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.700000000000000000e+01,8.745783330395772737e+01,8.248596052553982361e+01,5.305622773821355942e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.800000000000000000e+01,8.842218485778219872e+01,8.700434419425246801e+01,7.465406285343491710e+00
